num	date	subjStartTime	trialNum	stimName	flipLeft	inView	response	rt
1	2021.11.25	21:22:31	83	inanimate/glittering.jpg	true	true	right	1.279
1	2021.11.25	21:22:31	84	social/trails.jpg	false	true	left	5.797
1	2021.11.25	21:22:31	85	inanimate/pillow.jpg	true	true	left	0.953
1	2021.11.25	21:22:31	86	social/altars.jpg	false	true	left	3.062
1	2021.11.25	21:22:31	87	inanimate/suction.jpg	false	true	left	1.082
1	2021.11.25	21:22:31	88	inanimate/aristocracy.jpg	false	true	right	3.412
1	2021.11.25	21:22:31	89	social/deteriorating.jpg	true	true	left	6.008
1	2021.11.25	21:22:31	90	social/living.jpg	true	true	right	4.713
1	2021.11.25	21:22:31	91	inanimate/deteriorating.jpg	true	true	right	1.407
1	2021.11.25	21:22:31	92	inanimate/smallholders.jpg	true	true	right	0.816
1	2021.11.25	21:22:31	93	social/gentle.jpg	false	true	right	3.043
1	2021.11.25	21:22:31	94	social/ethnic.jpg	true	true	left	4.706
1	2021.11.25	21:22:31	95	social/nicotine.jpg	true	true	left	1.993
1	2021.11.25	21:22:31	96	social/russet.jpg	false	true	right	2.791
1	2021.11.25	21:22:31	97	inanimate/droning.jpg	false	true	left	60.622
1	2021.11.25	21:22:31	98	inanimate/russet.jpg	false	true	left	0.925
1	2021.11.25	21:22:31	99	social/jews.jpg	false	true	left	9.619
1	2021.11.25	21:22:31	100	inanimate/drummers.jpg	true	true	right	3
1	2021.11.25	21:22:31	101	social/aristocracy.jpg	false	true	left	4.38
1	2021.11.25	21:22:31	102	social/restraint.jpg	false	true	left	3.961
1	2021.11.25	21:22:31	103	inanimate/retrial.jpg	false	true	right	4.66
1	2021.11.25	21:22:31	104	inanimate/fragrant.jpg	true	true	right	0.824
1	2021.11.25	21:22:31	105	inanimate/knitters.jpg	true	true	right	1.551
1	2021.11.25	21:22:31	106	inanimate/chopping.jpg	true	true	right	2.041
1	2021.11.25	21:22:31	107	social/undercarriage.jpg	false	true	right	2.771
1	2021.11.25	21:22:31	108	inanimate/cramming.jpg	true	true	left	2.888
1	2021.11.25	21:22:31	109	inanimate/uneven.jpg	true	true	left	0.93
1	2021.11.25	21:22:31	110	inanimate/burials.jpg	false	true	left	0.736
1	2021.11.25	21:22:31	111	inanimate/cake.jpg	false	true	left	0.797
1	2021.11.25	21:22:31	112	social/allotments.jpg	false	true	left	1.794
1	2021.11.25	21:22:31	113	inanimate/whistle.jpg	false	true	left	2.358
1	2021.11.25	21:22:31	114	social/castor.jpg	true	true	right	4.025
1	2021.11.25	21:22:31	115	inanimate/budding.jpg	false	true	right	1.874
1	2021.11.25	21:22:31	116	inanimate/tides.jpg	true	true	left	4.754
1	2021.11.25	21:22:31	117	inanimate/water.jpg	false	true	left	2.702
1	2021.11.25	21:22:31	118	social/cramming.jpg	true	true	right	9.913
1	2021.11.25	21:22:31	119	inanimate/resigned.jpg	false	true	left	2.557
1	2021.11.25	21:22:31	120	social/knitters.jpg	true	true	left	2.887
1	2021.11.25	21:22:31	121	inanimate/contractor.jpg	false	true	left	1.843
1	2021.11.25	21:22:31	122	social/wiry.jpg	true	true	right	3.363
1	2021.11.25	21:22:31	123	inanimate/restraint.jpg	false	true	right	1.496
1	2021.11.25	21:22:31	124	inanimate/mustered.jpg	true	true	right	4.082
1	2021.11.25	21:22:31	125	social/burials.jpg	false	true	right	8.615
1	2021.11.25	21:22:31	126	social/enlightened.jpg	true	true	right	3.858
1	2021.11.25	21:22:31	127	social/buses.jpg	true	true	right	10.85
1	2021.11.25	21:22:31	128	social/vocals.jpg	true	true	right	3.066
1	2021.11.25	21:22:31	129	social/whistle.jpg	false	true	left	1.929
1	2021.11.25	21:22:31	130	social/straw.jpg	false	true	left	5.735
1	2021.11.25	21:22:31	131	inanimate/wharf.jpg	false	true	left	1.184
1	2021.11.25	21:22:31	132	social/wharf.jpg	false	true	left	3.097
1	2021.11.25	21:22:31	133	social/closely.jpg	false	true	right	3.953
1	2021.11.25	21:22:31	134	inanimate/lifts.jpg	false	true	right	0.889
1	2021.11.25	21:22:31	135	inanimate/ethnic.jpg	true	true	right	1.623
1	2021.11.25	21:22:31	136	social/infected.jpg	true	true	left	3.021
1	2021.11.25	21:22:31	137	inanimate/straw.jpg	false	true	left	1.479
1	2021.11.25	21:22:31	138	inanimate/observational.jpg	false	true	left	4.429
1	2021.11.25	21:22:31	139	inanimate/jews.jpg	false	true	right	1.615
1	2021.11.25	21:22:31	140	social/drummers.jpg	true	true	right	3.32
1	2021.11.25	21:22:31	141	social/desert.jpg	true	true	left	5.632
1	2021.11.25	21:22:31	142	social/graduated.jpg	false	true	left	2.813
